"organism","1L","1M","1U","2L","2M","2U","3L","3M","3U","4L","4M","4U","5L","5M","5U","6L","6M","6U","7L","7M","7U","8L","8M","8U"
"scallop",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"other_unknown_bivalvia",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"barnacles",0,0,0,0,5,5,0,2,0,4,1,0,6,3,0,8,8,5,0,0,0,0,0,0
"isopods",0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,1,5,0,0,0,1,1
"amphipods",0,0,0,1,1,0,4,3,0,4,0,0,7,0,0,3,1,0,4,0,0,9,0,1
"shrimp",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"black_clawed",19,4,0,1,0,0,13,3,0,1,0,0,19,0,0,25,2,0,17,5,0,14,2,0
"hemigrapsus",8,0,0,0,13,0,0,1,0,5,24,9,1,1,0,0,5,0,2,51,0,2,0,0
"hermit_crabs",3,0,0,12,28,0,10,20,2,49,92,1,4,31,0,10,16,17,6,32,0,17,4,1
"kelp_crab",1,3,0,3,0,0,1,1,0,11,6,0,3,0,0,4,0,0,2,3,0,0,0,1
"porcelain",9,5,0,9,3,0,1,2,0,17,0,0,20,0,0,20,3,0,51,36,0,19,39,1
"rock_crab",3,0,0,0,1,0,0,0,0,2,0,0,5,0,0,1,0,1,0,0,0,0,1,0
"other_unknown_decapoda",0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,2,5,1,0,0,4,8,10,2
"orange_encrusting",0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other_unknown_bryozoa",0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,4,1,0,2,1,0,0,0,0
"blood",0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"evasterias",0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"leather",0,0,0,1,1,0,1,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0
"leptasterias",4,2,0,1,3,0,1,0,0,2,16,0,10,1,0,8,4,0,5,8,0,7,7,2
"pisaster",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"brittle",0,0,0,1,0,0,0,1,0,1,0,0,15,0,0,2,0,0,3,0,0,4,6,0
"urchin",21,2,0,0,3,0,0,2,0,2,23,0,0,1,0,9,0,0,0,2,0,0,0,0
"cucumber",39,10,0,5,9,0,7,2,0,11,0,0,6,0,0,25,1,0,6,3,0,12,15,1
"tunicate",0,0,0,18,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0
"sea_squirt",2,1,0,6,1,0,1,2,0,7,0,0,4,0,0,2,0,0,3,0,0,3,4,0
"other_unknown_tunicata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"clingfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"sculpin",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"gunnel",7,2,0,1,0,0,7,0,0,4,0,0,8,0,0,6,0,0,9,8,0,12,3,0
"other_unknown_osteichthyes",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
