SECTION,ZONE,YELLOW,ORANGE,RED,UNKNOWN_OTHER_PORIFERA,ANEMONE,AGGREGATING.ANEMONE,PURPLE.ENCRUSTING.HYDROCORAL,HYDROID,PACIFIC.SEA.NETTLE,LION.S.MANE,MOON,EGG,PLATYHELMINTHES,NEMERTEA,ANNELIDA,ANNELIDA_TUBEWORM,CHITON_LINED,CHITON_MOSSY,CHITON_HAIRY,CHITON_LEATHER,LIMPET,TOPSNAIL,TURBAN_SNAIL,MARGARITE,PERIWINKLE,BITTIUM,WENTLETRAP,DOGWINKLE,WELK,OLIVE,OTHER_UNKNOWN_GASTROPODA,SEA_CLOWN,DORID,SEA_LEMON,OTHER_UNKNOWN_OPISTHOBRANCHIA,MUSSEL,OYSTER,CLAM,SCALLOP,OTHER_UNKNOWN_BIVALVIA,BARNACLES,ISOPODS,AMPHIPODS,SHRIMP,BLACK_CLAWED,HEMIGRAPSUS,HERMIT_CRABS,KELP,PORCELAIN,ROCK,OTHER_UNKNOWN_DECAPODA,ORANGE_ENCRUSTING,OTHER_UNKNOWN_BRYOZOA,BLOOD,EVASTERIAS..MOTTLED.,LEATHER,LEPTASTERIAS..SIX.RAYED.,PISASTER,BRITTLE,URCHIN,CUCUMBER,TUNICATE,SEA_SQUIRT,OTHER_UNKNOWN_TUNICATA,CLINGFISH,SCULPIN,GUNNEL,OTHER_UNKNOWN_OSTEICHTHYES
4,M,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,10,4,2,2,117,10,13,0,0,0,0,6,4,0,2,0,0,0,0,8,4,1,0,0,1,0,0,2,0,24,92,6,0,0,1,0,0,0,1,0,16,0,0,23,0,0,0,0,0,3,0,0
4,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,L,1,12,3,2,0,0,0,0,0,0,0,0,0,6,40,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,5,0,0,6,0,7,0,19,1,4,3,20,5,1,0,0,1,2,3,10,0,15,0,6,4,4,0,0,0,8,0
5,M,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,27,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,1,31,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,L,1,12,0,4,5,0,0,0,0,0,0,0,0,3,3,3,7,4,1,0,5,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,1,0,0,8,0,3,0,25,0,10,4,20,1,2,0,4,0,0,1,8,0,2,9,25,1,2,0,0,0,6,0
6,M,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,10,13,1,1,88,32,7,0,0,0,0,0,2,0,7,0,0,0,0,6,4,1,0,0,8,4,1,0,2,5,16,0,3,0,5,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
6,U,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,10,2,4,4,0,1,0,0,0,0,0,0,0,3,0,0,0,0,5,1,0,0,0,5,1,0,0,0,0,17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,L,3,0,1,2,0,0,0,0,0,0,0,0,0,0,5,4,1,6,0,0,51,1,0,0,0,0,0,0,5,0,7,0,0,0,0,3,2,2,1,4,0,5,4,0,17,2,6,2,51,0,0,0,2,0,0,0,5,0,3,0,6,0,3,0,1,0,9,0
7,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,9,0,1,155,1,0,0,0,0,0,1,24,0,50,0,0,0,0,6,2,0,0,0,0,0,0,0,5,51,32,3,36,0,0,0,1,0,0,0,8,0,0,2,3,0,0,0,0,0,8,0
7,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,6,3,0,0,19,0,0,0,0,0,0,0,9,0,4,0,2,0,0,0,0,4,0,0,0,0,9,0,14,2,17,0,19,0,8,0,0,0,0,0,7,0,4,0,12,0,3,0,0,0,12,0
8,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,2,0,27,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,39,1,10,0,0,2,0,0,7,0,6,0,15,0,4,0,0,0,3,0
8,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4,1,0,171,0,0,0,0,0,0,0,8,0,4,0,0,0,0,12,1,0,0,0,0,1,1,0,0,0,1,1,1,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
